index,repr. distance,fine distance,cluster,closest cluster,location error (m),neighbour
0.0,0.453367015020675,100.0,11.0,0.0,0.17117080576137977,1.0
1.0,0.43360273910565694,95.68370611946202,11.0,1.0,0.08896289256201148,0.0
2.0,0.434390547056393,92.39297393437064,11.0,1.0,0.053219968104086635,0.0
3.0,0.43739754587285984,87.6804857591785,11.0,1.0,0.017453931620125037,0.0
4.0,0.4552696324986826,86.40513753391066,11.0,1.0,0.0,0.0
5.0,0.45998335974049454,85.9333413076746,11.0,1.0,0.03552146083707706,0.0
6.0,0.4657962128874864,89.51444665430948,11.0,1.0,0.07246401286155771,0.0
7.0,0.4871646710880978,95.18111041949135,11.0,1.0,0.10618894475885898,1.0
8.0,0.48178265767834727,86.33239363358979,11.0,1.0,0.040363963754814686,0.0
9.0,0.47458055779508024,81.15690881988067,11.0,1.0,0.0,0.0
10.0,0.4830062714498956,82.92899447027766,11.0,1.0,0.03655276673522815,0.0
11.0,0.4767861017666666,83.99871037199205,11.0,1.0,0.07399735207424658,0.0
12.0,0.4712952027382207,90.34634940883461,11.0,1.0,0.11072579432995736,1.0
13.0,0.4696170348564229,95.85179345763625,11.0,1.0,0.14808011997901682,1.0
14.0,0.4680667985200767,93.43157283504462,11.0,1.0,0.0,0.0
15.0,0.47381991176192617,98.8105243837003,11.0,1.0,0.023861528387762624,0.0
16.0,0.48711179010637706,100.0,11.0,0.0,0.6433011499484514,11.0
17.0,0.5122466156636791,100.0,11.0,0.0,0.6933575028547683,12.0
18.0,0.5185435166588765,100.0,11.0,0.0,0.7367913190273078,12.0
19.0,0.517115919333362,100.0,11.0,0.0,0.783406473463808,14.0
20.0,0.5259818896883703,100.0,11.0,0.0,0.830659693155988,17.0
21.0,0.49988697205575006,100.0,39.0,0.0,0.8791623251305757,19.0
22.0,0.4948416106377165,100.0,39.0,0.0,0.9270446615347073,20.0
23.0,0.5001576597663386,100.0,39.0,0.0,0.9766060249916545,21.0
24.0,0.4718552581886938,96.3094608864825,39.0,1.0,0.0,0.0
25.0,0.47939154350923063,100.0,39.0,0.0,1.0779549998956357,24.0
26.0,0.4646929386609624,100.0,39.0,0.0,1.1015027688794068,25.0
27.0,0.42637369978034,100.0,39.0,0.0,1.154956152962094,26.0
28.0,0.42385461568516936,100.0,39.0,0.0,1.203415730431508,28.0
29.0,0.4196902799823111,95.8212742762229,39.0,1.0,0.0,0.0
30.0,0.4166059474247781,98.06934381156368,39.0,1.0,0.047829971043269554,0.0
31.0,0.4275695130956291,96.71893427437016,39.0,1.0,0.15613641498702355,1.0
32.0,0.4292072034440587,96.72687132724072,39.0,1.0,0.10330370938160943,0.0
33.0,0.44909287391531316,89.1913946135559,39.0,1.0,0.0511964886002936,0.0
34.0,0.4593462056909897,84.1380764898963,39.0,1.0,0.0,0.0
35.0,0.4681835667317792,86.36362650310943,39.0,1.0,0.0491871530889927,0.0
36.0,0.44898942051521307,91.13448416373487,39.0,1.0,0.10773239658524254,0.0
37.0,0.4701999147738204,100.0,39.0,0.0,1.6543176015581167,40.0
38.0,0.45340325493082045,91.3099763487882,39.0,1.0,0.05211954973903756,0.0
39.0,0.4496540951938035,87.71976771564354,39.0,1.0,0.0,0.0
40.0,0.4265016394386456,85.30862371669456,39.0,1.0,0.05012251120005851,0.0
41.0,0.45511005265671345,95.646007765757,39.0,1.0,0.09901493952934594,0.0
42.0,0.4587878274399346,93.70952981603938,39.0,1.0,0.09781356646702935,0.0
43.0,0.46650215796194094,93.47300145084175,39.0,1.0,0.04750422559099356,0.0
44.0,0.47928557220878487,86.79387400261058,39.0,1.0,0.0,0.0
45.0,0.5210692578649991,95.42573920928021,39.0,1.0,0.053794104900072616,0.0
46.0,0.4900755944450722,93.87213414950399,39.0,1.0,0.09879306309655576,0.0
47.0,0.49397543725056436,89.08797887721295,39.0,1.0,0.07732787722419396,0.0
48.0,0.48552300606676735,87.9306075667953,39.0,1.0,0.02507521487445331,0.0
49.0,0.5146193052020547,86.3846331219851,39.0,1.0,0.0,0.0
50.0,0.5087193329198374,89.23760175374103,39.0,1.0,0.06190026995902333,0.0
51.0,0.5064195587328126,89.35783735772699,39.0,1.0,0.10424140392377666,0.0
52.0,0.5105273789468738,93.47229617578046,39.0,0.0,0.14420295933163074,2.0
53.0,0.5166638819553947,84.2217123039747,48.0,1.0,0.050807003631389444,0.0
54.0,0.5115429351722632,81.60595048613126,48.0,1.0,0.0,0.0
55.0,0.5168065345801292,83.84681157450824,48.0,1.0,0.056020638661121995,0.0
56.0,0.5135009721469805,87.79885379939087,48.0,1.0,0.11662465743143689,1.0
57.0,0.5123368045412916,89.06115276474902,48.0,1.0,0.10496375815013458,1.0
